"model","prompt","runs","eval_rate_mean","eval_rate_stddev","eval_rate_min","eval_rate_max","eval_rate_cv_pct","prompt_eval_rate_mean","prompt_eval_rate_stddev","prompt_eval_rate_min","prompt_eval_rate_max","total_duration_mean","total_duration_stddev","total_duration_min","total_duration_max","eval_count_mean","eval_count_min","eval_count_max","gpu_mem_max_mb","gpu_power_max_w","high_variance"
"deepseek-r1:32b","A","3","97.6267","7.9337","88.58","103.4","8.13","868.94","428.3842","616.5","1363.56","8.7206","0.2115","8.4868","8.8988","584","568","597","20529","557",""
"deepseek-r1:32b","B","3","94.3067","6.4954","86.83","98.56","6.89","993.67","29.6699","968.87","1026.54","20.1048","1.2173","18.9526","21.378","1345.6667","1269","1430","20529","562",""
"deepseek-r1:32b","C","3","96.4833","2.7","94.17","99.45","2.8","3274.3267","9.896","3263.98","3283.7","11.9346","0.8975","11.1013","12.8849","678.6667","625","740","20529","571",""
"deepseek-r1:32b","D","3","95.88","4.2896","91.71","100.28","4.47","1240.6933","87.4935","1178.5","1340.74","22.746","5.9682","17.2375","29.0866","1518","1153","1936","20529","561",""
"llama3.2","A","3","543.3067","33.082","522.78","581.47","6.09","9618.5267","8677.3743","4248.13","19629.43","0.7254","0.1292","0.6272","0.8718","242","207","294","10728","379",""
"llama3.2","B","3","571.8433","53.6321","536.26","633.53","9.38","3980.51","2412.3437","1323.84","6034.09","1.5105","1.0117","0.8544","2.6757","531.6667","289","958","10728","378",""
"llama3.2","C","3","517.67","8.0073","510.59","526.36","1.55","24884.25","477.8056","24349.33","25268.73","1.4285","0.108","1.32","1.536","399.3333","363","435","10728","362",""
"llama3.2","D","3","538.38","22.9269","512.14","554.54","4.26","5265.8133","381.0123","4912.08","5669.23","2.4026","0.117","2.2728","2.4999","866.3333","817","902","10728","401",""
"ministral-3","A","3","169.19","40.9682","141.91","216.3","24.21","39730.7767","51082.9703","10126.79","98716.17","2.4863","0.2655","2.3091","2.7915","385.3333","321","467","7533","439","YES"
"ministral-3","B","3","167.6333","40.444","140.12","214.07","24.13","43842.1133","2664.4968","40996.62","46278.23","10.9241","5.7433","5.2307","16.716","1628.6667","1066","2276","7533","446","YES"
"ministral-3","C","3","158.44","39.2663","135.54","203.78","24.78","12409.6667","212.8531","12263.13","12653.82","3.813","0.2291","3.6106","4.0617","518","426","650","7532","459","YES"
"ministral-3","D","3","161.93","38.2291","138.01","206.02","23.61","10300.78","193.0171","10081.87","10446.49","25.387","6.0594","18.392","29.0231","3827","3630","3942","7532","464","YES"
"qwen2.5:32b","A","3","97.3733","12.7428","83.56","108.67","13.09","2288.1967","563.6675","1680.25","2793.47","3.5548","0.5189","3.1713","4.1452","236.3333","210","276","31229","549","YES"
"qwen2.5:32b","B","3","94.97","11.5639","81.65","102.44","12.18","1526.0933","293.1861","1312.61","1860.38","10.2424","1.3187","9.1528","11.7084","687","614","786","31229","553","YES"
"qwen2.5:32b","C","3","93.4133","13.773","83","109.03","14.74","3305.4367","38.4317","3278.71","3349.48","6.8954","0.6307","6.4975","7.6225","356.6667","331","404","31229","580","YES"
"qwen2.5:32b","D","3","88.6733","5.0381","85.68","94.49","5.68","1744.9067","254.3124","1597.33","2038.56","12.2141","1.693","10.5958","13.9731","818.6667","710","937","31229","553",""
"qwen3-coder:30b","A","3","212.7367","0.9558","212.16","213.84","0.45","1665.35","1392.0559","849.88","3272.7","1.1951","0.0699","1.127","1.2667","230","220","242","18689","309",""
"qwen3-coder:30b","B","3","209.3","0.7544","208.44","209.85","0.36","1171.2033","40.6646","1144","1217.95","8.5567","1.2108","7.7899","9.9526","1710.3333","1558","1988","18689","301",""
"qwen3-coder:30b","C","3","196.1","1.205","194.9","197.31","0.61","7119.4767","29.1001","7086.64","7142.07","2.6383","0.193","2.4282","2.8075","369","332","398","18689","356",""
"qwen3-coder:30b","D","3","200.44","6.5915","192.83","204.36","3.29","1196.9067","61.1106","1150.36","1266.11","19.3898","2.8118","17.3852","22.604","3725.3333","3414","4200","18689","313",""
"deepseek-r1:32b","ALL","12","96.0742","5.0351","86.83","103.4","5.24","1594.4075","1039.5622","616.5","3283.7",,,,,,,,"20529","571",""
"llama3.2","ALL","12","542.8","35.1693","510.59","633.53","6.48","10937.275","9503.2874","1323.84","25268.73",,,,,,,,"10728","401",""
"ministral-3","ALL","12","164.2983","34.1917","135.54","216.3","20.81","26570.8342","27041.2268","10081.87","98716.17",,,,,,,,"7533","464","YES"
"qwen2.5:32b","ALL","12","93.6075","10.1964","81.65","109.03","10.89","2216.1583","775.1607","1312.61","3349.48",,,,,,,,"31229","580","YES"
"qwen3-coder:30b","ALL","12","204.6442","7.5456","192.83","213.84","3.69","2788.2342","2686.5158","849.88","7142.07",,,,,,,,"18689","356",""
