"benchmark_mode","mode","model","prompt","repeat_index","log_file","ran_this_time","run_start","run_end","total_duration_s","load_duration_s","prompt_eval_count","prompt_eval_duration_s","prompt_eval_rate_tps","eval_count","eval_duration_s","eval_rate_tps","gpu_mem_max_mb","gpu_mem_min_mb","gpu_util_max_pct","gpu_util_mean_pct","gpu_power_max_w","gpu_power_mean_w","gpu_temp_max_c","gpu_samples","parse_warnings"
"steady","5090-pcie-steady","ministral-3","A","1","C:\ollama-tests\logs\20251226-115005-5090-pcie-steady\ministral-3\A-r01-5090-pcie-steady-ministral-3.txt","True","2025-12-26T11:50:11.9591389-08:00","2025-12-26T11:50:14.3438372-08:00","2.3091082","0.0756717","569","0.005764","98716.17","467","2.1590298","216.3","7420","7420","87","86.3","439","416.7","50","3",""
"steady","5090-pcie-steady","ministral-3","B","1","C:\ollama-tests\logs\20251226-115005-5090-pcie-steady\ministral-3\B-r01-5090-pcie-steady-ministral-3.txt","True","2025-12-26T11:50:14.3836437-08:00","2025-12-26T11:50:19.6971389-08:00","5.2307321","0.08071339999999999","581","0.014171900000000001","40996.62","1066","4.9797739","214.07","7420","7420","86","86","446","426.8","52","5",""
"steady","5090-pcie-steady","ministral-3","C","1","C:\ollama-tests\logs\20251226-115005-5090-pcie-steady\ministral-3\C-r01-5090-pcie-steady-ministral-3.txt","True","2025-12-26T11:50:19.7138549-08:00","2025-12-26T11:50:23.6098184-08:00","3.7667822","0.0820976","4096","0.33268220000000004","12312.05","650","3.1897754","203.78","7420","7420","94","90","459","443.7","54","3",""
"steady","5090-pcie-steady","ministral-3","D","1","C:\ollama-tests\logs\20251226-115005-5090-pcie-steady\ministral-3\D-r01-5090-pcie-steady-ministral-3.txt","True","2025-12-26T11:50:23.6247920-08:00","2025-12-26T11:50:42.1099075-08:00","18.3920394","0.08051349999999999","582","0.0557125","10446.49","3630","17.6198306","206.02","7420","7420","89","81.8","464","448.5","58","17",""
"steady","5090-pcie-steady","ministral-3","A","2","C:\ollama-tests\logs\20251226-115005-5090-pcie-steady\ministral-3\A-r02-5090-pcie-steady-ministral-3.txt","True","2025-12-26T11:50:42.1598698-08:00","2025-12-26T11:50:44.6042926-08:00","2.3581097","0.0803275","569","0.056187600000000004","10126.79","321","2.1491794","149.36","7420","7420","70","69.5","326","306.5","54","2",""
"steady","5090-pcie-steady","ministral-3","B","2","C:\ollama-tests\logs\20251226-115005-5090-pcie-steady\ministral-3\B-r02-5090-pcie-steady-ministral-3.txt","True","2025-12-26T11:50:44.6181790-08:00","2025-12-26T11:50:55.5238256-08:00","10.8254482","0.08130230000000001","581","0.0131295","44251.49","1544","10.3824047","148.71","7420","7420","71","69.7","338","327.9","55","10",""
"steady","5090-pcie-steady","ministral-3","C","2","C:\ollama-tests\logs\20251226-115005-5090-pcie-steady\ministral-3\C-r02-5090-pcie-steady-ministral-3.txt","True","2025-12-26T11:50:55.5502027-08:00","2025-12-26T11:50:59.7150719-08:00","4.0617213","0.0845087","4096","0.3340093","12263.13","478","3.526692","135.54","7420","7420","68","50.8","402","341.5","57","4",""
"steady","5090-pcie-steady","ministral-3","D","2","C:\ollama-tests\logs\20251226-115005-5090-pcie-steady\ministral-3\D-r02-5090-pcie-steady-ministral-3.txt","True","2025-12-26T11:50:59.7397766-08:00","2025-12-26T11:51:28.5710105-08:00","28.7459448","0.0807832","582","0.057727400000000005","10081.87","3942","27.8075644","141.76","7420","7420","71","68.2","340","332.6","56","27",""
"steady","5090-pcie-steady","ministral-3","A","3","C:\ollama-tests\logs\20251226-115005-5090-pcie-steady\ministral-3\A-r03-5090-pcie-steady-ministral-3.txt","True","2025-12-26T11:51:28.6094921-08:00","2025-12-26T11:51:31.4920872-08:00","2.7915404","0.0805163","569","0.0549792","10349.37","368","2.5931059","141.91","7533","7533","69","68","316","299.5","56","2",""
"steady","5090-pcie-steady","ministral-3","B","3","C:\ollama-tests\logs\20251226-115005-5090-pcie-steady\ministral-3\B-r03-5090-pcie-steady-ministral-3.txt","True","2025-12-26T11:51:31.5175418-08:00","2025-12-26T11:51:48.3296830-08:00","16.7160148","0.0792954","581","0.012554500000000001","46278.23","2276","16.2433913","140.12","7533","7532","69","67.3","331","321.8","57","16",""
"steady","5090-pcie-steady","ministral-3","C","3","C:\ollama-tests\logs\20251226-115005-5090-pcie-steady\ministral-3\C-r03-5090-pcie-steady-ministral-3.txt","True","2025-12-26T11:51:48.3659691-08:00","2025-12-26T11:51:52.1013827-08:00","3.6106312","0.0769344","4096","0.3236968","12653.82","426","3.1322703","136","7532","7532","95","78","386","355.3","64","3",""
"steady","5090-pcie-steady","ministral-3","D","3","C:\ollama-tests\logs\20251226-115005-5090-pcie-steady\ministral-3\D-r03-5090-pcie-steady-ministral-3.txt","True","2025-12-26T11:51:52.1235770-08:00","2025-12-26T11:52:21.2334844-08:00","29.0230829","0.0825917","582","0.0561019","10373.98","3909","28.3250604","138.01","7532","7532","71","67.7","343","329.2","58","26",""
"steady","5090-pcie-steady","llama3.2","A","1","C:\ollama-tests\logs\20251226-115005-5090-pcie-steady\llama3.2\A-r01-5090-pcie-steady-llama3.2.txt","True","2025-12-26T11:52:25.4651625-08:00","2025-12-26T11:52:26.2083739-08:00","0.677231","0.0750334","41","0.0020886999999999998","19629.43","225","0.43039049999999995","522.78","10728","10728","79","79","328","328","58","1",""
"steady","5090-pcie-steady","llama3.2","B","1","C:\ollama-tests\logs\20251226-115005-5090-pcie-steady\llama3.2\B-r01-5090-pcie-steady-llama3.2.txt","True","2025-12-26T11:52:26.2364778-08:00","2025-12-26T11:52:28.9880513-08:00","2.6756541","0.0730516","52","0.039279600000000005","1323.84","958","1.7864472","536.26","10728","10728","79","57.7","378","341.3","59","3",""
"steady","5090-pcie-steady","llama3.2","C","1","C:\ollama-tests\logs\20251226-115005-5090-pcie-steady\llama3.2\C-r01-5090-pcie-steady-llama3.2.txt","True","2025-12-26T11:52:29.0213173-08:00","2025-12-26T11:52:30.5402567-08:00","1.4296221","0.0725892","4096","0.1620976","25268.73","400","0.7599290999999999","526.36","10728","10728","80","80","362","362","60","1",""
"steady","5090-pcie-steady","llama3.2","D","1","C:\ollama-tests\logs\20251226-115005-5090-pcie-steady\llama3.2\D-r01-5090-pcie-steady-llama3.2.txt","True","2025-12-26T11:52:30.5721138-08:00","2025-12-26T11:52:32.9249958-08:00","2.2728465","0.07541339999999999","54","0.010352499999999999","5216.13","817","1.4732924","554.54","10728","10728","79","62.5","363","349","60","2",""
"steady","5090-pcie-steady","llama3.2","A","2","C:\ollama-tests\logs\20251226-115005-5090-pcie-steady\llama3.2\A-r02-5090-pcie-steady-llama3.2.txt","True","2025-12-26T11:52:32.9563619-08:00","2025-12-26T11:52:33.6510925-08:00","0.6272452","0.0713782","41","0.0082362","4978.02","207","0.3559929","581.47","10728","10728","78","78","379","379","60","1",""
"steady","5090-pcie-steady","llama3.2","B","2","C:\ollama-tests\logs\20251226-115005-5090-pcie-steady\llama3.2\B-r02-5090-pcie-steady-llama3.2.txt","True","2025-12-26T11:52:33.6953222-08:00","2025-12-26T11:52:34.7748912-08:00","1.0015238","0.0733059","52","0.008617699999999999","6034.09","348","0.5492994999999999","633.53","10728","10728","0","0","294","294","54","1",""
"steady","5090-pcie-steady","llama3.2","C","2","C:\ollama-tests\logs\20251226-115005-5090-pcie-steady\llama3.2\C-r02-5090-pcie-steady-llama3.2.txt","True","2025-12-26T11:52:34.8046570-08:00","2025-12-26T11:52:36.2118611-08:00","1.319973","0.07400029999999999","4096","0.163613","25034.69","363","0.7034008","516.06","10728","10728","69","69","354","354","60","1",""
"steady","5090-pcie-steady","llama3.2","D","2","C:\ollama-tests\logs\20251226-115005-5090-pcie-steady\llama3.2\D-r02-5090-pcie-steady-llama3.2.txt","True","2025-12-26T11:52:36.2421957-08:00","2025-12-26T11:52:38.8146101-08:00","2.4998961","0.0741617","54","0.0109933","4912.08","902","1.6446039","548.46","10728","10728","79","78.5","380","352.5","60","2",""
"steady","5090-pcie-steady","llama3.2","A","3","C:\ollama-tests\logs\20251226-115005-5090-pcie-steady\llama3.2\A-r03-5090-pcie-steady-llama3.2.txt","True","2025-12-26T11:52:38.8484893-08:00","2025-12-26T11:52:39.7926073-08:00","0.8717609","0.0792265","41","0.009651300000000002","4248.13","294","0.5592894","525.67","10728","10728","79","79","321","321","59","1",""
"steady","5090-pcie-steady","llama3.2","B","3","C:\ollama-tests\logs\20251226-115005-5090-pcie-steady\llama3.2\B-r03-5090-pcie-steady-llama3.2.txt","True","2025-12-26T11:52:39.8210573-08:00","2025-12-26T11:52:40.7502502-08:00","0.8543995999999999","0.0740518","52","0.011344799999999999","4583.6","289","0.5295517999999999","545.74","10728","10728","79","79","327","327","59","1",""
"steady","5090-pcie-steady","llama3.2","C","3","C:\ollama-tests\logs\20251226-115005-5090-pcie-steady\llama3.2\C-r03-5090-pcie-steady-llama3.2.txt","True","2025-12-26T11:52:40.7836802-08:00","2025-12-26T11:52:42.4126523-08:00","1.5359788","0.0771965","4096","0.16821819999999998","24349.33","435","0.8519576","510.59","10728","10728","80","80","351","351","60","1",""
"steady","5090-pcie-steady","llama3.2","D","3","C:\ollama-tests\logs\20251226-115005-5090-pcie-steady\llama3.2\D-r03-5090-pcie-steady-llama3.2.txt","True","2025-12-26T11:52:42.4369877-08:00","2025-12-26T11:52:44.9474790-08:00","2.43513","0.0757345","54","0.0095251","5669.23","880","1.7182742","512.14","10728","10728","80","79.7","401","386.3","61","3",""
"steady","5090-pcie-steady","qwen2.5:32b","A","1","C:\ollama-tests\logs\20251226-115005-5090-pcie-steady\qwen2.5_32b\A-r01-5090-pcie-steady-qwen2.5_32b.txt","True","2025-12-26T11:53:01.4988147-08:00","2025-12-26T11:53:04.9160349-08:00","3.3478841","0.0591877","45","0.016109000000000002","2793.47","223","2.2324577","99.89","31229","31229","95","95","531","506.7","66","3",""
"steady","5090-pcie-steady","qwen2.5:32b","B","1","C:\ollama-tests\logs\20251226-115005-5090-pcie-steady\qwen2.5_32b\B-r01-5090-pcie-steady-qwen2.5_32b.txt","True","2025-12-26T11:53:04.9502872-08:00","2025-12-26T11:53:14.8903286-08:00","9.8659298","0.0598515","56","0.039849499999999996","1405.29","661","6.5562937","100.82","31229","31229","95","94.8","537","525.5","68","10",""
"steady","5090-pcie-steady","qwen2.5:32b","C","1","C:\ollama-tests\logs\20251226-115005-5090-pcie-steady\qwen2.5_32b\C-r01-5090-pcie-steady-qwen2.5_32b.txt","True","2025-12-26T11:53:14.9246519-08:00","2025-12-26T11:53:22.6448437-08:00","7.6225341","0.0570719","4096","1.222877","3349.48","404","3.7053965","109.03","31229","31229","99","95.7","562","545.3","72","7",""
"steady","5090-pcie-steady","qwen2.5:32b","D","1","C:\ollama-tests\logs\20251226-115005-5090-pcie-steady\qwen2.5_32b\D-r01-5090-pcie-steady-qwen2.5_32b.txt","True","2025-12-26T11:53:22.6812429-08:00","2025-12-26T11:53:36.7343472-08:00","13.9731245","0.0597931","58","0.028451499999999998","2038.56","937","9.9161764","94.49","31229","31229","95","94.9","545","535.2","72","13",""
"steady","5090-pcie-steady","qwen2.5:32b","A","2","C:\ollama-tests\logs\20251226-115005-5090-pcie-steady\qwen2.5_32b\A-r02-5090-pcie-steady-qwen2.5_32b.txt","True","2025-12-26T11:53:36.7853404-08:00","2025-12-26T11:53:40.0328637-08:00","3.1712635","0.0584923","45","0.0188216","2390.87","210","1.932475","108.67","31229","31229","95","95","543","514","72","3",""
"steady","5090-pcie-steady","qwen2.5:32b","B","2","C:\ollama-tests\logs\20251226-115005-5090-pcie-steady\qwen2.5_32b\B-r02-5090-pcie-steady-qwen2.5_32b.txt","True","2025-12-26T11:53:40.0713184-08:00","2025-12-26T11:53:51.8588011-08:00","11.7083784","0.058334899999999995","56","0.0301014","1860.38","786","7.6724379","102.44","31229","31229","96","93","548","535.6","72","11",""
"steady","5090-pcie-steady","qwen2.5:32b","C","2","C:\ollama-tests\logs\20251226-115005-5090-pcie-steady\qwen2.5_32b\C-r02-5090-pcie-steady-qwen2.5_32b.txt","True","2025-12-26T11:53:51.9012511-08:00","2025-12-26T11:53:58.5018513-08:00","6.4974524","0.0611456","4096","1.2456952","3288.12","331","3.9880499","83","31229","31229","99","96.7","580","548.8","76","6",""
"steady","5090-pcie-steady","qwen2.5:32b","D","2","C:\ollama-tests\logs\20251226-115005-5090-pcie-steady\qwen2.5_32b\D-r02-5090-pcie-steady-qwen2.5_32b.txt","True","2025-12-26T11:53:58.5367824-08:00","2025-12-26T11:54:09.2039993-08:00","10.5958086","0.0590844","58","0.0363106","1597.33","710","8.2868679","85.68","31229","31229","96","94.9","551","539.4","74","10",""
"steady","5090-pcie-steady","qwen2.5:32b","A","3","C:\ollama-tests\logs\20251226-115005-5090-pcie-steady\qwen2.5_32b\A-r03-5090-pcie-steady-qwen2.5_32b.txt","True","2025-12-26T11:54:09.2685020-08:00","2025-12-26T11:54:13.4880267-08:00","4.1451638","0.055321300000000004","45","0.0267818","1680.25","276","3.3029145","83.56","31229","31229","96","76","549","518.8","74","4",""
"steady","5090-pcie-steady","qwen2.5:32b","B","3","C:\ollama-tests\logs\20251226-115005-5090-pcie-steady\qwen2.5_32b\B-r03-5090-pcie-steady-qwen2.5_32b.txt","True","2025-12-26T11:54:13.5324401-08:00","2025-12-26T11:54:22.7625845-08:00","9.1527698","0.050458300000000005","56","0.042663","1312.61","614","7.519912","81.65","31229","31229","96","94.7","553","539.9","75","9",""
"steady","5090-pcie-steady","qwen2.5:32b","C","3","C:\ollama-tests\logs\20251226-115005-5090-pcie-steady\qwen2.5_32b\C-r03-5090-pcie-steady-qwen2.5_32b.txt","True","2025-12-26T11:54:22.8071759-08:00","2025-12-26T11:54:29.4907614-08:00","6.566142","0.0593771","4096","1.2492703","3278.71","335","3.7977841","88.21","31229","31229","99","95.2","572","548.5","77","6",""
