"model","prompt","runs","eval_rate_mean","eval_rate_stddev","eval_rate_min","eval_rate_max","eval_rate_cv_pct","prompt_eval_rate_mean","prompt_eval_rate_stddev","prompt_eval_rate_min","prompt_eval_rate_max","total_duration_mean","total_duration_stddev","total_duration_min","total_duration_max","eval_count_mean","eval_count_min","eval_count_max","gpu_mem_max_mb","gpu_power_max_w","high_variance"
"deepseek-r1:32b","A","3","96.28","6.0659","89.45","101.04","6.3","462.8767","8.5579","454.45","471.56","16.8899","2.7594","14.0459","19.5561","884","693","1063","20502","553",""
"deepseek-r1:32b","B","3","94.1567","1.1018","93.02","95.22","1.17","1235.7833","126.8321","1090.02","1320.96","21.8881","1.9018","20.5293","24.0616","1468.3333","1379","1612","20502","558",""
"deepseek-r1:32b","C","3","91.54","12.3378","83.26","105.72","13.48","3290.3","14.9707","3279.61","3307.41","15.3942","3.6396","11.7296","19.0082","903.3333","668","1135","20502","577","YES"
"deepseek-r1:32b","D","3","89.3533","6.8854","82.26","96.01","7.71","1190.2767","302.1572","999.94","1538.68","22.4394","3.3525","18.8692","25.5205","1502.6667","1265","1707","20502","559",""
"llama3.2","A","3","530.2767","19.3803","508.32","545","3.65","3783.44","456.7544","3336.1","4249.06","1.8294","0.0765","1.7461","1.8966","237.6667","208","263","10701","233",""
"llama3.2","B","3","554.49","26.444","528.79","581.62","4.77","2191.9367","762.8965","1333.99","2793.99","1.6737","0.6391","0.9652","2.2068","587.3333","329","787","10701","321",""
"llama3.2","C","3","494.8367","17.3867","477.59","512.36","3.51","29007.41","2516.8965","27087.96","31856.99","1.3574","0.2272","1.17","1.61","374.3333","308","461","10701","395",""
"llama3.2","D","3","534.7133","36.8399","498.68","572.31","6.89","4718.29","140.2419","4587.78","4866.57","2.384","0.2567","2.2154","2.6794","853","791","964","10701","378",""
"ministral-3","A","3","219.9433","1.1794","218.61","220.85","0.54","10257.16","109.8575","10137.27","10353","3.7873","0.2827","3.5074","4.0727","406","349","466","7420","450",""
"ministral-3","B","3","213.7","1.2164","212.31","214.57","0.57","41941.4733","1179.2336","40784.24","43141.54","7.4242","1.1769","6.1029","8.3601","1509.6667","1244","1699","7420","461",""
"ministral-3","C","3","202.21","1.8804","200.78","204.34","0.93","12264.66","48.237","12234.44","12320.29","2.7761","0.2437","2.618","3.0567","457.3333","426","513","7420","472",""
"ministral-3","D","3","188.6333","5.2101","183.44","193.86","2.76","10288.7933","160.6315","10103.36","10385.16","24.311","2.2715","21.9571","26.4899","4409.6667","4098","4692","7420","476",""
"qwen2.5:32b","A","3","90.7867","12.1407","76.77","98.01","13.37","1351.5667","111.6303","1249.91","1471.03","6.396","0.3643","6.103","6.8039","185","165","213","31202","538","YES"
"qwen2.5:32b","B","3","97.8967","1.6466","96.04","99.18","1.68","1375.18","34.4168","1348.91","1414.14","9.5665","0.2069","9.3585","9.7723","641","626","655","31202","545",""
"qwen2.5:32b","C","3","86.31","7.8049","81.63","95.32","9.04","3324.97","18.2567","3306.17","3342.63","6.9833","0.2309","6.7176","7.1354","362.6667","346","372","31202","580",""
"qwen2.5:32b","D","3","91.3567","7.6161","84.6","99.61","8.34","1938.2533","324.2391","1570.49","2182.91","12.6436","1.4309","11.3448","14.1775","847","760","950","31202","551",""
"qwen3-coder:30b","A","3","212.6433","2.173","210.21","214.39","1.02","849.2767","1.9383","847.45","851.31","4.3177","0.0682","4.2442","4.379","242.3333","229","255","18658","182",""
"qwen3-coder:30b","B","3","210.1333","1.8762","208.22","211.97","0.89","959.04","95.2369","891.74","1068.01","8.4509","0.7769","7.6238","9.1652","1696","1530","1835","18658","298",""
"qwen3-coder:30b","C","3","194.34","0.8643","193.6","195.29","0.44","7114.52","13.9715","7098.5","7124.18","2.3285","0.0986","2.219","2.4101","313.6667","294","329","18662","350",""
"qwen3-coder:30b","D","3","198.41","13.8694","182.4","206.76","6.99","1132.58","25.5615","1103.9","1152.96","19.0002","5.1151","15.2894","24.8351","3581","3023","4382","18662","314",""
"deepseek-r1:32b","ALL","12","92.8325","7.1192","82.26","105.72","7.67","1544.8092","1109.0899","454.45","3307.41",,,,,,,,"20502","577",""
"llama3.2","ALL","12","528.5792","31.6515","477.59","581.62","5.99","9925.2692","11601.692","1333.99","31856.99",,,,,,,,"10701","395",""
"ministral-3","ALL","12","206.1217","12.7063","183.44","220.85","6.16","18688.0217","14057.3137","10103.36","43141.54",,,,,,,,"7420","476",""
"qwen2.5:32b","ALL","12","91.5875","8.2192","76.77","99.61","8.97","1997.4925","850.0704","1249.91","3342.63",,,,,,,,"31202","580",""
"qwen3-coder:30b","ALL","12","203.8817","10.0598","182.4","214.39","4.93","2513.8542","2776.6359","847.45","7124.18",,,,,,,,"18662","350",""
