"benchmark_mode","mode","model","prompt","repeat_index","log_file","ran_this_time","run_start","run_end","total_duration_s","load_duration_s","prompt_eval_count","prompt_eval_duration_s","prompt_eval_rate_tps","eval_count","eval_duration_s","eval_rate_tps","gpu_mem_max_mb","gpu_mem_min_mb","gpu_util_max_pct","gpu_util_mean_pct","gpu_power_max_w","gpu_power_mean_w","gpu_temp_max_c","gpu_samples","parse_warnings"
"fresh","5090-pcie-fresh","ministral-3","A","1","C:\ollama-tests\logs\20251226-133656-5090-pcie-fresh\ministral-3\A-r01-5090-pcie-fresh-ministral-3.txt","True","2025-12-26T13:37:07.0174196-08:00","2025-12-26T13:37:10.9153275-08:00","3.7817895","1.7742293","569","0.0561295","10137.27","403","1.8434838","218.61","7420","0","86","52.2","431","212","49","4",""
"fresh","5090-pcie-fresh","ministral-3","B","1","C:\ollama-tests\logs\20251226-133656-5090-pcie-fresh\ministral-3\B-r01-5090-pcie-fresh-ministral-3.txt","True","2025-12-26T13:37:10.9456713-08:00","2025-12-26T13:37:17.1405946-08:00","6.1029431","0.0860605","581","0.0138668","41898.64","1244","5.8071903","214.22","7420","7420","87","82.3","446","423.2","52","6",""
"fresh","5090-pcie-fresh","ministral-3","C","1","C:\ollama-tests\logs\20251226-133656-5090-pcie-fresh\ministral-3\C-r01-5090-pcie-fresh-ministral-3.txt","True","2025-12-26T13:37:17.1592873-08:00","2025-12-26T13:37:20.3395695-08:00","3.0567481","0.079101","4096","0.3324597","12320.29","513","2.5550088","200.78","7420","7420","92","88.3","463","443.3","56","3",""
"fresh","5090-pcie-fresh","ministral-3","D","1","C:\ollama-tests\logs\20251226-133656-5090-pcie-fresh\ministral-3\D-r01-5090-pcie-fresh-ministral-3.txt","True","2025-12-26T13:37:20.3566132-08:00","2025-12-26T13:37:46.9345137-08:00","26.4899488","0.08108199999999999","582","0.0576046","10103.36","4692","25.5773457","183.44","7420","7420","88","80.3","462","412.8","57","24",""
"fresh","5090-pcie-fresh","ministral-3","A","2","C:\ollama-tests\logs\20251226-133656-5090-pcie-fresh\ministral-3\A-r02-5090-pcie-fresh-ministral-3.txt","True","2025-12-26T13:37:47.5681736-08:00","2025-12-26T13:37:51.2000967-08:00","3.5074251","1.7630734","569","0.055343699999999996","10281.21","349","1.5802816","220.85","7420","14","86","43.7","333","165","56","3",""
"fresh","5090-pcie-fresh","ministral-3","B","2","C:\ollama-tests\logs\20251226-133656-5090-pcie-fresh\ministral-3\B-r02-5090-pcie-fresh-ministral-3.txt","True","2025-12-26T13:37:51.2165923-08:00","2025-12-26T13:37:59.1139019-08:00","7.809662","0.0874359","581","0.0134673","43141.54","1586","7.3916348","214.57","7420","7420","88","84.2","453","437.8","59","8",""
"fresh","5090-pcie-fresh","ministral-3","C","2","C:\ollama-tests\logs\20251226-133656-5090-pcie-fresh\ministral-3\C-r02-5090-pcie-fresh-ministral-3.txt","True","2025-12-26T13:37:59.1420662-08:00","2025-12-26T13:38:01.8689402-08:00","2.6179703","0.0772282","4096","0.334661","12239.25","426","2.0847627","204.34","7420","7420","90","89","472","446.5","61","2",""
"fresh","5090-pcie-fresh","ministral-3","D","2","C:\ollama-tests\logs\20251226-133656-5090-pcie-fresh\ministral-3\D-r02-5090-pcie-fresh-ministral-3.txt","True","2025-12-26T13:38:01.8816101-08:00","2025-12-26T13:38:26.4552568-08:00","24.4859881","0.0789318","582","0.0560415","10385.16","4439","23.5370767","188.6","7420","7420","88","81.6","470","430.9","63","23",""
"fresh","5090-pcie-fresh","ministral-3","A","3","C:\ollama-tests\logs\20251226-133656-5090-pcie-fresh\ministral-3\A-r03-5090-pcie-fresh-ministral-3.txt","True","2025-12-26T13:38:27.0785190-08:00","2025-12-26T13:38:31.2560788-08:00","4.0727328","1.76282","569","0.0549599","10353","466","2.114666","220.37","7420","568","87","54.2","450","239","62","4",""
"fresh","5090-pcie-fresh","ministral-3","B","3","C:\ollama-tests\logs\20251226-133656-5090-pcie-fresh\ministral-3\B-r03-5090-pcie-fresh-ministral-3.txt","True","2025-12-26T13:38:31.2804361-08:00","2025-12-26T13:38:39.7348243-08:00","8.3601442","0.0856541","581","0.0142457","40784.24","1699","8.0023057","212.31","7420","7420","87","86.1","461","444.1","63","7",""
"fresh","5090-pcie-fresh","ministral-3","C","3","C:\ollama-tests\logs\20251226-133656-5090-pcie-fresh\ministral-3\C-r03-5090-pcie-fresh-ministral-3.txt","True","2025-12-26T13:38:39.7642302-08:00","2025-12-26T13:38:42.5091048-08:00","2.6534569","0.079928","4096","0.3347926","12234.44","433","2.1487831","201.51","7420","7420","87","87","472","452","64","2",""
"fresh","5090-pcie-fresh","ministral-3","D","3","C:\ollama-tests\logs\20251226-133656-5090-pcie-fresh\ministral-3\D-r03-5090-pcie-fresh-ministral-3.txt","True","2025-12-26T13:38:42.5321250-08:00","2025-12-26T13:39:04.5739017-08:00","21.9570751","0.0819227","582","0.0560809","10377.86","4098","21.1388832","193.86","7420","7420","88","78.5","476","437.3","66","21",""
"fresh","5090-pcie-fresh","llama3.2","A","1","C:\ollama-tests\logs\20251226-133656-5090-pcie-fresh\llama3.2\A-r01-5090-pcie-fresh-llama3.2.txt","True","2025-12-26T13:39:09.1488556-08:00","2025-12-26T13:39:11.1307932-08:00","1.8965617","1.1815016","41","0.0096492","4249.06","263","0.5173929","508.32","10701","9835","78","39","156","120","59","2",""
