"model","prompt","runs","eval_rate_mean","eval_rate_stddev","eval_rate_min","eval_rate_max","eval_rate_cv_pct","prompt_eval_rate_mean","prompt_eval_rate_stddev","prompt_eval_rate_min","prompt_eval_rate_max","total_duration_mean","total_duration_stddev","total_duration_min","total_duration_max","eval_count_mean","eval_count_min","eval_count_max","gpu_mem_max_mb","gpu_power_max_w","high_variance"
"deepseek-r1:32b","A","3","98.5033","2.9993","95.04","100.24","3.04","848.7867","265.9713","563.9","1090.58","9.9652","1.2554","8.6319","11.1246","669.3333","579","747","20502","561",""
"deepseek-r1:32b","B","3","95.86","2.8751","92.57","97.89","3","1109.99","39.9663","1083.78","1155.99","21.6285","4.4979","17.9751","26.6521","1450","1207","1784","20502","566",""
"deepseek-r1:32b","C","3","90.7167","11.1535","83.95","103.59","12.29","3276.6167","28.5921","3254.28","3308.84","16.115","1.2416","14.6816","16.859","948.6667","856","998","20502","574","YES"
"deepseek-r1:32b","D","3","94.2633","5.4853","87.93","97.5","5.82","1309.16","190.4171","1146.52","1518.62","23.2343","2.9622","21.2707","26.6416","1556.3333","1425","1784","20502","573",""
"llama3.2","A","3","524.87","23.2976","503.65","549.8","4.44","5075.94","920.8536","4017.17","5690.33","0.7662","0.1018","0.6579","0.86","254.6667","214","289","18708","389",""
"llama3.2","B","3","514.43","6.8362","506.75","519.85","1.33","4297.4833","2658.876","1366.46","6554.48","1.1463","0.3039","0.8202","1.4217","392.6667","264","498","18708","332",""
"llama3.2","C","3","509.1267","25.9458","493.3","539.07","5.1","27184.08","1121.5935","25913.64","28037.15","1.2916","0.0675","1.2138","1.3343","351","325","365","18708","372",""
"llama3.2","D","3","553.2533","14.552","536.57","563.33","2.63","4977.8067","278.9732","4769.43","5294.74","3.0633","0.7207","2.5603","3.889","1106","921","1409","18708","391",""
"mistral:7b","A","3","608.8667","102.322","491.13","676.3","16.81","2840.2067","1298.0456","2032.34","4337.5","1.1911","0.2043","0.9769","1.3839","300.6667","245","351","5380","464","YES"
"mistral:7b","B","3","555.2433","80.8943","461.86","603.82","14.57","3233.27","129.9101","3153.19","3383.16","2.3864","0.2392","2.157","2.6344","605","546","668","5380","469","YES"
"mistral:7b","C","3","519.9133","80.1372","428.27","576.83","15.41","14708.1","837.6712","13836.37","15506.95","1.7667","0.237","1.5329","2.0068","336.6667","282","393","5380","486","YES"
"mistral:7b","D","3","569.3833","60.8312","500.1","614.04","10.68","3223.7267","152.6271","3066.82","3371.68","2.5074","0.3417","2.2833","2.9008","634.6667","578","734","5380","488","YES"
"phi4:14b","A","3","238.59","41.9068","199.08","282.54","17.56","2194.7767","528.7211","1876.73","2805.11","2.0774","0.1531","1.9034","2.1916","289","265","305","15427","535","YES"
"phi4:14b","B","3","255.87","66.0958","186.94","318.71","25.83","2528.43","218.9865","2314.54","2752.18","5.3126","0.1703","5.1961","5.508","745.6667","730","772","15427","541","YES"
